env,run,tag,step,value
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,917504,232.6300048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,925696,229.64999389648438
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,933888,261.95001220703125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,942080,262.3999938964844
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,950272,265.45001220703125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,958464,254.82000732421875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,966656,235.5800018310547
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,974848,276.95001220703125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,983040,278.7799987792969
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,991232,305.5799865722656
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,999424,274.0899963378906
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1007616,248.42999267578125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1015808,221.74000549316406
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1024000,245.3800048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1032192,248.41000366210938
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1040384,271.6000061035156
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1048576,287.489990234375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1056768,340.19000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1064960,379.4100036621094
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1073152,364.4700012207031
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1081344,382.0400085449219
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1089536,361.32000732421875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1097728,315.4800109863281
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1105920,329.6499938964844
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1114112,281.8900146484375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1122304,263.75
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1130496,278.3800048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1138688,277.07000732421875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1146880,326.8900146484375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1155072,352.67999267578125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1163264,362.8699951171875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1171456,390.739990234375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1179648,398.6300048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1187840,406.4200134277344
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1196032,410.54998779296875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1204224,385.4800109863281
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1212416,381.7699890136719
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1220608,377.260009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1228800,336.2799987792969
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1236992,325.6600036621094
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1245184,350.7300109863281
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1253376,390.510009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1261568,412.239990234375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1269760,399.29998779296875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1277952,406.54998779296875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1286144,383.5299987792969
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1294336,385.010009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1302528,375.9200134277344
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1310720,396.1700134277344
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1318912,401.82000732421875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1327104,430.3800048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1335296,433.9200134277344
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1343488,430.92999267578125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1351680,474.1499938964844
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1359872,482.30999755859375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1368064,452.7900085449219
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1376256,415.0299987792969
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1384448,422.3800048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1392640,414.32000732421875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1400832,408.3299865722656
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1409024,410.3299865722656
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1417216,426.17999267578125
