#{"t_start": 1787506617.0336988, "env_id": "Ant-v5"}
r,l,t
-34.624156,74,237.50696
-18.204255,39,237.571831
-3.001911,23,237.610147
-134.314901,123,237.814985
-0.481341,12,237.835114
-25.965193,54,237.923951
3.733776,58,238.019284
-17.536941,26,238.062633
-5.796823,18,238.092457
-47.635564,66,238.201246
-25.703291,45,239.220085
-44.851282,91,239.372065
-1.879009,7,239.38381
9.661641,27,239.429113
-6.260416,26,242.09394
-21.232156,30,242.144925
-15.461367,34,242.202099
-14.87351,37,242.263637
-5.837888,8,242.277169
-27.82484,55,242.368743
-32.404665,110,242.553421
-2.846921,15,242.578469
-117.173727,104,242.753062
5.196207,38,242.81662
-9.544366,15,242.841871
-27.965151,24,242.881851
-1.164063,13,242.903969
-23.949566,21,242.939001
-11.48515,39,243.004811
4.060136,29,243.053252
-15.386147,41,243.122312
-18.534375,21,243.157675
-10.121888,11,243.175992
-48.684864,43,243.247991
-5.82437,12,243.268242
-13.55065,25,243.310463
-1.45087,46,243.387309
-4.032105,25,243.428928
-20.498568,29,243.477304
-1.275141,35,243.536085
-4.285774,13,243.557494
-74.091342,138,243.787791
6.475552,22,243.825265
-159.007725,250,244.243461
-3.197913,24,244.283404
-8.185264,8,244.296633
-194.661091,132,244.518026
-11.145061,100,244.685192
-50.716729,70,244.802645
-7.723671,10,244.819277
-4.280158,12,244.839369
-11.704646,12,244.859299
-14.095618,14,244.882763
-16.25998,12,244.902709
-630.702435,1000,250.197738
6.029858,15,250.222728
3.391941,24,250.26232
16.355739,19,250.29406
-3.111023,75,250.419053
-6.920153,19,250.450567
-6.242653,35,250.508494
-1.123565,14,250.531822
-50.859495,76,250.657645
-39.773099,31,250.708754
-9.131066,57,250.803845
-24.607211,26,250.846903
-26.10138,35,250.905028
-60.819532,42,250.975001
-46.380971,16,251.001634
-14.960945,12,251.021653
9.938893,35,251.079831
-31.585415,57,251.174807
-3.83209,38,251.238759
-143.562424,117,251.436234
-18.500164,68,251.549976
-102.174169,101,251.718841
29.703295,47,251.797665
-36.983398,47,251.87617
-8.525678,56,251.969178
-2.136595,90,252.120046
-13.718519,56,252.21392
-60.631549,86,253.182301
-10.736153,30,253.23282
